PCT_LACCESS_POP10,PCT_LACCESS_LOWI10,PCT_LACCESS_SENIORS10,REDEMP_SNAPS11,SNAP_PART_RATE07,SNAP_PART_RATE09,PCT_NSLP11,PCH_NSLP_09_11,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,PCT_ADULTPA09,PCT_HSPA09,y2,y1,RECFAC09,PCH_RECFAC_07_09,RECFACPTH09,PCH_RECFACPTH_07_09,FOODINSEC_99_01,FOODINSEC_06_08,FMRKT09,FMRKTPTH09,PCH_FMRKTPTH_09_12,SLHOUSE07,CSA07,AGRITRSM_OPS07,AGRITRSM_RCT07,FARM_TO_SCHOOL,SODATAX_STORES11,SODATAX_VENDM11,CHIPSTAX_STORES11,CHIPSTAX_VENDM11,FOOD_TAX11,FFR09,PCH_FFR_07_09,FFRPTH09,PCH_FFRPTH_07_09,FSR09,PCH_FSR_07_09,FSRPTH09,PCH_FSRPTH_07_09,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV00,CHILDPOVRATE10,PERCHLDPOV00,METRO00,POPLOSS00,PCH_GROC_07_09,GROCPTH09,PCH_GROCPTH_07_09,SUPERCPTH09,PCH_SUPERCPTH_07_09,CONVSPTH09,PCH_CONVSPTH_07_09,SPECSPTH09,PCH_SPECSPTH_07_09,SNAPSPTH08,WICS08,WICSPTH08
39.03376221,22.27694878,1.385712119,73624.81333,82,74,7.528385899,-0.138911191,37.40458015,5.34351145,0.335732376,3.696062697,1.413655216,74.3,20.2,5.9,31.4,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-50,0.364431487,-48.6516035,0,-100,0,-100,582.7155098,517,688.0841941,13.5307227,6.749442853,12.25724292,35.43457498,27.6663483,0.604902897,4.934734161,11.81152499,47077,16.8,0,16.4,0,0,0,-20,1.457725948,-17.8425656,0,0,0,,0,0,2.847,3,1.101321586
13.74710627,7.533638307,0.741977742,81939.38333,82,74,7.528385899,-0.138911191,11.43911439,0.922509225,0.335732376,3.696062697,1.413655216,74.3,20.2,5.9,27.9,0,0,0,0,11.1,11.6,0,0,,0,0,0,0,0,0,0,0,0,0,2,,0.429276669,0,3,-40,0.643915003,-38.66065679,582.7155098,517,688.0841941,31.37924834,5.718395972,13.0552059,28.3222442,15.12317928,1.834202482,3.470598813,14.65563748,58517,9,0,11,0,0,0,-40,0.643915003,-38.66065679,0,0,0.214638334,,0.214638334,2.232238678,1.546,3,0.651607298
30.14785441,4.571834923,2.079894533,472308.9121,82,74,7.528385899,-0.138911191,27.92836204,7.878568847,0.335732376,3.696062697,1.413655216,74.3,20.2,6.6,25.7,34,0,0.118808837,-2.680187578,11.1,11.6,5,0.017471888,35.54948066,0,6,10,,0,0,0,0,0,0,207,3.5,0.723336152,0.726005857,208,5.050505051,0.72683053,2.234954463,582.7155098,517,688.0841941,62.64486372,5.245591551,7.559641704,7.952684134,7.554844325,1.979261615,7.243700013,25.96958462,70524,9.6,0,12.2,0,1,0,8.823529412,0.129291969,5.906854694,0.031449398,-2.680187578,0.21315703,-4.249861972,0.069887551,8.133124913,0.344,21,0.074874051
78.01478363,38.56978363,5.036281071,334851.368,82,74,7.528385899,-0.138911191,67.29162421,5.848787447,0.335732376,3.696062697,1.413655216,74.3,20.2,6,30.1,1,0,0.057630244,-1.452282158,11.1,11.6,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-16.66666667,0.288151222,-17.8769018,4,-50,0.230520977,-50.72614108,582.7155098,517,688.0841941,10.89754893,0.382060777,1.063892318,0.928701581,82.61917357,0.105801446,6.118850291,36.54852172,45481,22.6,1,30.2,1,0,0,19.04761905,1.440756109,17.31871172,0,0,0.288151222,23.1846473,0,0,3.307,22,1.277955272
43.54489164,7.2435252,4.235690525,79923.74748,82,74,7.528385899,-0.138911191,39.24050633,2.53164557,0.335732376,3.696062697,1.413655216,74.3,20.2,7.3,34.9,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.27014756,13.16685585,582.7155098,517,688.0841941,47.74322969,0,2.407221665,0.802407222,33.09929789,0.300902708,8.324974925,22.56770311,62912,8.8,0,9.1,0,0,0,0,3.405221339,13.16685585,0,0,0,,0,0,3.148,2,2.092050209
100.0000007,18.52751868,7.502738229,,82,74,7.528385899,-0.138911191,0,0,0.335732376,3.696062697,1.413655216,74.3,20.2,6,28.4,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-66.66666667,0.540248514,-67.49504772,7,16.66666667,3.7817396,13.76733297,582.7155098,517,688.0841941,88.38992333,0.547645126,2.300109529,1.040525739,3.504928806,0.054764513,7.502738226,22.50821468,61004,5.6,0,6.7,0,0,0,0,0,0,0,0,2.160994057,30.01980911,0,0,0,0,0
32.56828352,16.51349536,2.558375626,360152.7113,82,74,7.528385899,-0.138911191,70.98491571,11.26885537,0.335732376,3.696062697,1.413655216,74.3,20.2,8.2,34.2,0,0,0,0,11.1,11.6,1,0.20173492,-0.361809045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-25,0.605204761,-24.90921929,582.7155098,517,688.0841941,17.63977718,0.226944502,2.083763152,0.660202187,70.78605323,0.12378791,7.571693831,32.90695275,46845,20.6,1,29.5,1,0,0,25,1.008674602,25.15130119,0,0,0.403469841,0.121040952,0,0,1.824,6,1.218026797
37.14763806,9.978115552,2.38177466,517467.7034,82,74,7.528385899,-0.138911191,13.75374445,5.970457597,0.335732376,3.696062697,1.413655216,74.3,20.2,6,27.5,8,14.28571429,0.08108656,13.46558165,11.1,11.6,1,0.01013582,297.8546657,1,11,8,,0,0,0,0,0,0,43,-12.24489796,0.435840259,-12.87464266,59,-1.666666667,0.598013379,-2.372322454,582.7155098,517,688.0841941,74.05027618,4.256976256,5.79108638,2.574271631,6.834322255,0.384296123,6.533034095,25.62076634,60472,9.4,0,12.5,0,1,0,14.28571429,0.08108656,13.46558165,0.03040746,-0.717616055,0.2533955,37.89219992,0.06081492,495.6943037,0.235,8,0.081341318
20.70317871,4.890014561,2.327385365,,82,74,7.528385899,-0.138911191,40.06410256,18.91025641,0.335732376,3.696062697,1.413655216,74.3,20.2,7.9,31.9,0,0,0,0,11.1,11.6,1,0.41684035,-6.068911511,0,0,0,0,0,0,0,0,0,0,1,,0.41684035,0,6,20,2.501042101,15.79824927,582.7155098,517,688.0841941,82.2169059,0.358851675,1.87400319,0.518341308,9.051036683,0,13.75598086,19.89633174,46111,12.1,0,19.5,0,0,0,200,1.25052105,189.4956232,0,0,0,,0,0,1.321,1,0.42973786
32.41617287,6.13461527,2.304003774,381335.9744,82,74,7.528385899,-0.138911191,17.17670286,4.146100691,0.335732376,3.696062697,1.413655216,74.3,20.2,5.5,26.2,7,16.66666667,0.227302247,15.71199723,11.1,11.6,1,0.03247175,-100,0,1,4,,0,0,0,0,0,0,22,-12,0.714378491,-12.72009352,32,3.225806452,1.039095986,2.381121972,582.7155098,517,688.0841941,67.35411671,0.82813749,5.07753797,6.007993605,11.29976019,0.681055156,8.425259792,23.45643485,69844,8.2,0,10,0,0,0,-12.5,0.227302247,-13.21600208,0.097415249,48.77256787,0.129886998,-0.818288089,0.03247175,-0.818288089,0.387,5,0.161337162
